地名	發音	拉丁轉寫
白龍	bak lūng	Bahlung
平陽	bīng yāng	Bingyang
舟山	ciēu sāe	Chowsan
處州	tsý ciēu	Chuchow
諸暨	ciū kí	Chuki
定海	díng hài	Dinghai
長興	jiāng hīng	Djanghing
桐廬	dūng lū	Donglu
桐鄉	dūng hiāng	Dunghiang
富春	féu chiūn	Fuchun
衢州	giū ciēu	Gyuchow
海鹽	hài yē	Haiyen
橫山	ghāng sāe	Hangsan
杭州	ghōng ciēu	Hongchow
於潛	ī ziē	Izien
常州	zhiāng ciēu	Jangchow
常熟	zhiāng zhiuk	Jangjuh
上虞	zhiàng ngiū	Jangnyu
常山	zhiāng sāe	Jangsan
紹興	zhiàu hīng	Jaohing
瑞安	zhiú ōe	Juion
嘉興	kō hīng	Kahing
金華	kīn wō	Kinwo
江陰	kōng īn	Kong-in
江山	kōng sāe	Kongsan
會稽	kuéi kī	Kweiki
崑山	khuēn sāe	Kwensan
蘭溪	lāe khī	Lanki
臨安	līn ōe	Lin-on
臨海	līn hài	Linhai
麗水	lí shiù	Lishui
龍游	lūng yēu	Lungyu
龍泉	lūng ziōe	Lungzion
明州	mīng ciēu	Mingchow
望海	mōng hài	Monghai
樂清	ngok tsīng	Ngohtsing
吳江	ngū kōng	Ngukong
吳淞	ngū sūng	Ngusung
寧波	nīng pōu	Ningpo
宜興	ngī hīng	Nyihing
鄞州	ngīn ciēu	Nyinchow
義烏	ngí ū	Nyiwu
安吉	ōe kih	Onkih
浦江	phù kōng	Pukong
山陰	sāe īn	San-in
上海	zhiáng hài	Shanghai
蕭山	siāu sāe	Siaosan
新昌	sīn chiāng	Sinchang
新登	sīn tēng	Sinteng
秀州	siéu ciēu	Siuchow
蘇州	sū ciēu	Soochow
淞江	sūng kōng	Sungkong
台州	thāi ciēu	Taichow
德清	tek tsīng	Tehtsing
湯溪	thōng khī	Tongki
晉洲	tzín ciēu	tsinchow
青田	tsīng diāe	Tsingdien
縉雲	tzín yūn	Tsinyun
東陽	tūng yāng	Tungyang
烏程	ū jīng	Ujing
翁山	ūng sāe	Ungsan
武康	vù khōng	Vukong
奉化	vùng huó	Vunghwo
武義	vù ngí	Vunyi
無錫	vū sik	Vusih
溫州	uēn ciēu	Wenchow
華亭	wō dīng	Woding
黃岩	wōng ngāe	Wongngan
湖州	wū ciēu	Wuchow
鹽官	yē kuōe	Yenkwon
餘杭	yī ghōng	Yihong
餘姚	yī yāu	Yiyao
越州	yoh ciēu	Yotchow
永安	yùng ōe	Yung-on
永嘉	yùng chiāng	Yungchang
永康	yùng khōng	Yungkong
慈溪	zȳ khī	Zeki
嵊州	zhíng ciēu	Zhingchow
象山	ziàng sāe	Ziangsan
錢塘	ziē dōng	Ziendong
錢江	ziē kōng	Zienkong
遂昌	ziú chiāng	Zuichang
崇德	zūng tek	Zungteh
